Supporting Information for

Toward new solvents for EDLCs: From computational
screening to electrochemical validation

C. Schiitter,* T. Husch®, M. Korth>*, A. Balducci*:<*

@ University of Minster, MEET Battery Research Centre and Institute of Physical Chemistry, Corrensstr. 28/30, 48149 Minster (D)
> Ulm University, Institute for Theoretical Chemistry, Albert-Einstein-Allee 11, 89081 Ulm (D)
© Helmholtz Institute Ulm, Karlsruhe Institute of Technology, Helmholtzstrae 11, 89081 Ulm (D)

* Corresponding author e-mail: andrea.balducci@uni-muenster.de, martin.korth@uni-ulm.de

Contents:
1. SQM data set
2. DFT data set

1. SQM data set

ID HOMO/eV LUMO/eV n/cP Tb/K Tf/K Tm/K DeltaGsolv-Li-kcal/mol DeltaGsolv-pf6-kcal/mol
N2C10214 -11.555 0.927 2.25518 634.071 410.803 34.4 -123.51617 -50.12952
N2C10215 -11.538 0.949 3.03756 629.873 411.610 27.2 -123.70337 -50.19140
N2C10216 -11.280 0.893 2.57281 590.250 389.174 31.0 -123.31895 -50.30353
N2C10217 -11.496 0.969 2.74160 589.662 389.506 35.5 -123.69647 -50.23787
N2C10218 -11.379 0.910 2.26204 631.741 409.838 34.7 -123.38299 -50.27102
N2C10219 -11.413 0.963 3.01345 599.834 396.335 30.5 -123.62092 -50.24676
N2C1021 -11.431 0.631 3.78715 607.800 402.636 30.6 -121.65121 -50.00066
N2C10220 -11.442 0.839 3.14604 677.617 437.219 22.1 -123.21715 -50.27639
N2C10221 -11.082 1.005 2.50470 566.768 376.593 20.1 -123.85354 -50.28670
N2C10222 -11.428 0.834 3.22130 678.070 437.788 32.1 -123.51539 -50.60481
N2C10223 -11.353 0.905 3.48145 582.365 388.473 40.0 -123.22527 -50.54222
N2C10224 -11.309 0.953 2.73452 581.480 385.208 29.3 -123.83607 -50.43656
N2C10225 -11.241 0.664 3.59919 605.699 401.007 32.3 -121.91878 -50.15360
N2C10226 -11.265 0.638 3.82339 599.030 398.434 40.7 -121.74356 -50.16124
N2C10227 -11.186 0.648 4.58604 613.954 408.000 25.2 -121.71775 -50.11208
N2C10228 -11.329 0.872 3.66196 601.818 399.057 32.1 -123.18564 -50.55600
N2C10229 -11.451 0.951 2.75883 581.061 384.789 39.1 -123.76261 -50.42620
N2C1022 -11.301 0.641 3.85063 609.658 403.768 31.8 -121.72073 -50.05154
N2C10230 -11.060 0.902 3.82718 592.042 394.805 31.4 -123.02626 -50.56300
N2C10231 -11.304 0.875 3.13062 568.222 379.569 27.9 -123.03965 -50.18620
N2C10232 -11.468 0.949 3.36773 572.546 382.507 26.6 -123.42973 -50.37137
N2C10233 -11.329 0.850 3.97941 609.461 404.143 39.7 -122.89322 -50.58351
N2C10234 -11.205 0.917 2.95813 598.620 395.473 39.7 -123.49534 -50.34711
N2C10235 -11.204 0.981 3.19726 628.020 411.982 29.9 -123.67915 -50.62911
N2C10236 -11.373 0.926 3.04174 578.619 384.897 39.1 -123.75097 -50.62437
N2C10237 -11.224 0.977 3.03707 630.509 412.507 34.1 -123.80676 -50.42428
N2C10238 -11.394 0.871 3.65713 579.252 387.246 27.9 -122.95283 -50.38373
N2C10239 -11.477 0.972 3.38749 587.337 390.504 32.4 -123.68455 -50.34020
N2C1023 -11.248 0.628 4.45504 562.582 380.405 26.3 -121.84054 -50.04208
N2C10240 -11.011 0.644 4.44198 617.024 409.233 29.2 -121.64729 -50.16668
N2C10241 -11.262 0.937 3.35860 567.060 379.715 26.4 -123.49881 -50.49777
N2C10242 -11.182 1.008 3.25863 619.672 407.476 32.8 -123.96739 -50.64373
N2C10243 -11.083 0.977 5.96984 622.865 414.871 31.3 -123.45334 -50.64211
N2C10244 -11.022 0.888 3.70900 600.379 398.693 26.0 -123.02735 -50.58975
N2C10245 -11.214 0.994 3.81971 637.052 418.338 28.6 -124.11795 -50.77308
N2C10246 -11.484 0.389 1.62199 519.811 347.733 22.1 -120.62647 -49.19476
N2C10247 -11.361 0.382 1.65968 519.771 347.793 21.8 -120.63564 -49.28317
N2C10248 -11.545 0.360 1.76595 519.744 348.722 19.7 -120.32051 -49.12486
N2C10249 -11.023 0.358 1.83095 523.435 351.402 20.3 -120.03501 -49.33629
N2C1024 -11.344 0.877 3.35143 582.953 388.473 31.8 -122.91885 -50.27545
N2C10250 -11.260 0.355 1.86279 523.924 351.600 21.0 -120.16695 -49.31692
N2C10251 -11.325 0.370 2.04511 529.704 355.857 16.3 -120.07326 -49.28623
N2C10252 -11.106 0.381 1.95406 531.349 356.180 21.3 -119.91777 -49.30845
N2C10253 -11.172 0.639 2.23003 522.250 351.711 25.7 -122.42188 -50.17289
N2C10254 -11.488 0.634 2.10809 523.066 351.140 24.8 -122.51239 -49.99289
N2C10255 -11.395 0.654 2.10418 524.329 352.120 26.8 -122.55169 -50.12626
N2C10256 -11.633 0.641 2.08656 519.159 349.116 22.6 -122.67190 -50.09641
N2C10257 -11.382 0.629 2.41282 534.812 359.536 20.3 -122.05680 -50.05504
N2C10258 -11.524 0.642 2.22012 528.214 354.623 22.6 -122.38341 -50.00226
N2C10259 -11.460 0.628 2.35599 592.607 389.589 20.3 -122.05346 -49.88489
N2C1025 -11.418 0.951 3.27545 617.263 406.397 31.2 -123.51113 -50.38270
N2C10260 -11.215 0.872 2.12553 539.674 360.292 22.4 -123.08928 -50.25002
N2C10261 -11.333 0.895 2.49980 571.295 379.076 21.1 -123.20011 -50.35343
N2C10262 -11.578 0.855 2.46841 583.634 385.387 21.6 -123.26616 -50.36093
N2C10263 -11.437 0.869 2.56416 596.383 393.025 20.0 -123.11771 -50.52551
N2C10264 -11.464 0.973 2.54964 614.688 402.018 23.2 -123.68215 -50.31096
N2C10265 -11.567 0.890 2.35154 555.526 369.298 19.8 -123.26098 -50.07834
N2C10266 -11.508 0.975 2.23230 557.810 370.181 23.3 -123.54706 -50.18523
N2C10267 -11.306 0.707 3.06747 624.858 409.540 24.3 -122.26548 -50.22448
N2C10268 -11.359 0.920 2.95215 588.202 389.589 22.0 -123.66120 -50.66850
N2C10269 -11.246 0.646 3.17881 543.793 367.283 21.0 -122.12972 -50.29888
N2C1026 -11.271 0.843 3.61857 683.929 442.239 28.4 -123.23042 -50.46124
N2C10270 -11.248 0.869 2.76216 579.602 384.690 18.3 -123.21104 -50.38826
N2C10271 -11.418 0.983 3.21633 600.483 396.975 21.7 -123.73006 -50.66593
N2C10272 -10.981 0.368 2.90582 532.812 360.653 22.1 -120.19373 -49.56264
N2C10273 -11.039 0.413 2.71829 529.200 358.057 20.8 -120.47239 -49.60040
N2C10274 -11.267 0.404 2.88820 538.968 363.634 15.5 -120.35106 -49.47527
N2C10275 -11.059 0.416 3.34681 537.647 364.445 18.5 -120.34918 -49.48164
N2C10276 -10.915 0.377 3.17342 529.691 359.963 20.8 -119.87690 -49.42637
N2C10277 -11.266 0.391 3.11459 536.996 363.601 19.3 -120.08669 -49.39373
N2C10278 -10.990 0.399 3.50208 541.248 367.363 19.9 -119.86706 -49.52137
N2C10279 -11.214 0.410 3.74859 543.716 368.898 16.1 -120.05139 -49.42438
N2C1027 -11.375 0.960 3.46178 577.469 385.679 27.3 -123.42983 -50.33824
N2C10280 -11.405 0.926 2.27955 573.262 378.533 25.2 -123.73791 -50.65926
N2C10281 -11.366 0.818 2.32457 679.851 435.276 24.2 -124.08257 -50.67365
N2C10282 -11.375 0.693 2.28592 612.065 399.654 22.7 -122.49983 -50.31129
N2C10283 -11.416 0.919 2.11874 616.100 400.767 22.9 -123.55287 -50.21369
N2C10284 -11.539 0.670 2.36031 614.340 400.801 24.9 -122.39009 -50.05401
N2C10285 -11.452 0.849 2.71762 679.578 436.551 22.5 -123.50424 -50.39781
N2C10286 -11.417 0.659 2.60311 606.748 398.189 24.3 -121.95197 -50.05700
N2C10287 -11.254 0.909 3.41110 597.050 395.861 23.2 -123.71123 -50.92593
N2C10288 -11.017 0.696 3.40484 608.655 402.018 23.9 -122.32866 -50.41818
N2C10289 -11.369 0.930 2.75184 579.678 384.180 23.4 -123.74152 -50.58096
N2C1028 -11.096 1.008 3.30669 618.922 407.255 27.5 -123.80526 -50.29532
N2C10290 -11.407 0.857 3.02006 687.365 441.578 18.0 -124.07678 -50.77043
N2C10291 -11.413 0.913 3.50408 589.813 392.216 19.7 -123.57878 -50.64138
N2C10292 -11.272 0.996 2.77067 623.698 407.317 22.7 -124.35168 -50.88213
N2C10293 -11.151 0.677 3.77116 612.470 405.126 24.3 -122.14760 -50.36537
N2C10294 -11.290 0.893 2.96229 558.572 373.843 21.0 -123.26299 -50.56317
N2C10295 -11.217 0.400 3.49290 540.758 366.718 28.7 -120.03878 -49.29997
N2C10296 -11.076 0.370 3.47506 544.145 368.678 36.3 -119.79824 -49.45946
N2C10297 -11.459 0.640 2.77134 528.457 357.149 36.2 -122.33273 -50.03694
N2C10298 -11.284 0.668 2.45755 619.620 404.659 44.5 -122.13671 -50.20743
N2C10299 -11.246 0.804 2.49579 670.476 431.188 45.1 -123.52118 -50.39103
N2C1029 -11.346 1.022 3.51274 600.191 397.715 16.7 -123.89734 -50.26542
N2C102 -11.078 0.385 4.95783 562.898 382.034 8.4 -119.40702 -49.28918
N2C10300 -11.307 0.881 2.66669 563.712 375.954 36.1 -123.08759 -50.32825
N2C10301 -11.340 0.917 2.09571 623.028 404.391 50.4 -123.56830 -50.40317
N2C10302 -11.364 0.391 1.59328 522.855 349.135 38.5 -120.83467 -49.29552
N2C10303 -11.605 0.376 1.71411 527.301 352.177 36.5 -120.61897 -49.16890
N2C10304 -11.359 0.378 1.63045 520.915 348.293 39.7 -120.56414 -49.47023
N2C10305 -11.364 0.373 1.78704 526.979 352.525 35.6 -120.52415 -49.38952
N2C10306 -11.443 0.406 1.71944 527.299 352.074 35.1 -120.57867 -49.32816
N2C10307 -11.153 0.375 1.89635 527.585 353.831 31.6 -120.19502 -49.34124
N2C10308 -11.289 0.381 2.15787 535.498 359.314 33.0 -120.07895 -49.29204
N2C10309 -11.399 0.664 1.90301 591.268 387.222 41.1 -122.30674 -50.05178
N2C1030 -11.317 0.891 3.98488 583.236 390.358 29.3 -123.03418 -50.59206
N2C10310 -11.422 0.663 1.88391 594.849 389.100 41.4 -122.02738 -49.96915
N2C10311 -11.284 0.667 2.02355 583.459 383.432 38.7 -122.23198 -49.93575
N2C10312 -11.488 0.907 2.17398 568.730 375.954 32.7 -123.27717 -50.28932
N2C10313 -11.652 0.957 2.32789 626.748 407.089 36.7 -123.55993 -50.08502
N2C10314 -11.427 0.721 2.77987 626.600 409.233 36.7 -122.42789 -50.33499
N2C10315 -11.215 0.689 3.09837 609.325 401.660 38.0 -122.31489 -50.34943
N2C10316 -11.405 0.933 2.54340 556.079 370.774 37.6 -123.62403 -50.58635
N2C10317 -11.287 0.885 2.82399 687.857 441.802 36.6 -123.74417 -50.82671
N2C10318 -11.416 0.902 2.68012 578.648 383.785 37.7 -123.49826 -50.69128
N2C10319 -11.219 0.971 2.71589 615.229 403.250 39.3 -123.80379 -50.66044
N2C1031 -11.249 0.892 4.43032 593.307 396.411 25.8 -123.02949 -50.46461
N2C10320 -11.358 0.664 3.09744 620.196 407.255 31.2 -122.05391 -50.17774
N2C10321 -11.410 0.921 2.32619 653.005 420.907 31.1 -123.95587 -50.52489
N2C10322 -11.215 0.888 3.19821 607.262 400.667 39.0 -123.37809 -50.81739
N2C10323 -11.294 1.015 4.32647 622.066 411.772 38.3 -123.93369 -51.17670
N2C10324 -11.536 0.396 1.46874 518.711 345.432 37.6 -121.28781 -49.33456
N2C10325 -11.260 0.379 1.58851 519.398 347.429 38.2 -120.59046 -49.42268
N2C10326 -11.296 0.377 1.63030 521.553 348.768 33.3 -120.47701 -49.40666
N2C10327 -11.434 0.644 1.84112 521.425 348.919 38.7 -122.61829 -50.13094
N2C10328 -11.521 0.847 1.89169 656.500 420.841 33.2 -123.68934 -50.47649
N2C10329 -11.395 0.705 2.09465 607.500 396.749 39.9 -122.37202 -50.26474
N2C1032 -11.214 0.954 3.76969 632.544 415.815 31.1 -123.60988 -50.79956
N2C10330 -11.430 0.884 2.16132 572.952 378.414 37.1 -123.47380 -50.52755
N2C10331 -11.447 0.683 1.97823 523.063 350.185 33.6 -122.83887 -50.17668
N2C10332 -11.177 0.418 2.82864 533.610 360.507 38.1 -120.78647 -49.64287
N2C10333 -11.246 0.658 5.86660 674.444 433.750 48.8 -122.16097 -50.43100
N2C10334 -10.991 0.886 5.94309 630.616 412.378 49.9 -123.11489 -50.51556
N2C10335 -11.258 0.948 5.36021 666.654 431.085 43.2 -123.68735 -50.58968
N2C10336 -11.056 0.874 6.31900 645.083 420.788 49.6 -123.38475 -50.94330
N2C10337 -11.148 0.952 6.71917 674.266 437.650 44.5 -123.56046 -50.88076
N2C10338 -11.006 0.383 5.34919 586.859 387.269 43.0 -120.44772 -49.59018
N2C10339 -10.879 0.383 6.05478 591.266 392.404 44.5 -120.04438 -49.55346
N2C1033 -11.273 0.952 4.58370 634.521 418.759 26.4 -123.45082 -50.68859
N2C10340 -11.095 0.379 7.12387 598.892 398.891 40.7 -119.76712 -49.59340
N2C10341 -10.843 0.650 7.14064 662.983 430.763 49.4 -121.97953 -50.32208
N2C10342 -11.275 0.820 5.84609 730.419 463.022 43.4 -123.40098 -50.86582
N2C10343 -11.182 0.860 6.27866 631.083 414.243 46.3 -122.98077 -50.54790
N2C10344 -10.953 0.931 5.20021 671.519 432.218 44.1 -123.61589 -50.41491
N2C10345 -11.244 0.978 5.44416 653.434 424.270 42.8 -124.03485 -50.64234
N2C10346 -11.016 0.658 7.07189 657.183 429.009 45.6 -121.87305 -50.42971
N2C10347 -11.284 0.948 6.11178 693.321 444.276 45.4 -123.75420 -50.79425
N2C10348 -11.244 0.970 5.91884 678.966 436.474 49.4 -124.01742 -50.79041
N2C10349 -10.968 0.961 6.03012 675.164 435.865 43.0 -123.86121 -50.60219
N2C1034 -10.946 0.968 4.34290 594.339 396.539 27.3 -123.54977 -50.57967
N2C10350 -11.272 0.944 5.91632 668.514 433.198 40.8 -123.95129 -50.52534
N2C10351 -11.071 0.956 5.52966 663.504 428.791 49.5 -123.98000 -50.64369
N2C10352 -11.123 0.864 7.06972 674.624 438.416 46.0 -123.01329 -50.79834
N2C10353 -10.890 0.885 5.11628 645.148 418.018 43.8 -123.44210 -50.53545
N2C10354 -11.243 0.959 5.40007 715.382 456.601 38.8 -123.52190 -50.70070
N2C10355 -11.035 0.997 6.25018 670.144 433.730 44.0 -124.16428 -50.91509
N2C10356 -10.999 0.999 6.62784 688.955 443.940 48.1 -124.19711 -50.88172
N2C10357 -11.126 1.003 6.06531 663.798 431.085 41.1 -124.11655 -50.78685
N2C10358 -11.406 0.387 2.56934 556.681 365.899 52.9 -120.64909 -49.50053
N2C10359 -11.133 0.377 2.71349 559.439 366.618 51.2 -120.74127 -49.45622
N2C1035 -11.338 1.024 4.07555 604.448 401.389 14.1 -124.14850 -50.55436
N2C10360 -11.244 0.353 2.71088 559.703 368.150 38.5 -120.47969 -49.43252
N2C10361 -11.261 0.383 3.04469 578.127 376.913 51.7 -120.92633 -49.58380
N2C10362 -11.113 0.352 3.32268 572.274 376.786 40.9 -120.27248 -49.44172
N2C10363 -11.268 0.364 3.57081 568.637 376.238 52.6 -120.14131 -49.34990
N2C10364 -11.197 0.379 3.39251 573.505 377.295 48.3 -120.41137 -49.48640
N2C10365 -11.065 0.366 3.49146 576.446 377.747 47.8 -120.49003 -49.46032
N2C10366 -11.077 0.395 3.45477 573.330 377.599 45.3 -120.44216 -49.60724
N2C10367 -11.148 0.374 3.63407 574.931 377.275 47.4 -120.43083 -49.54010
N2C10368 -11.165 0.358 3.33836 579.228 381.187 37.6 -120.12106 -49.52639
N2C10369 -11.559 0.592 3.75469 574.789 378.864 56.0 -122.45957 -50.21558
N2C1036 -11.201 0.991 4.05429 623.607 412.285 27.7 -123.67783 -50.83056
N2C10370 -11.334 0.602 3.57784 570.886 376.349 46.7 -122.34353 -50.13211
N2C10371 -11.190 0.674 3.63871 606.518 394.189 52.9 -122.79481 -50.18356
N2C10372 -11.207 0.647 3.52071 636.350 410.131 49.2 -122.34508 -50.15905
N2C10373 -11.145 0.679 4.13343 643.061 413.806 51.6 -122.31675 -50.22981
N2C10374 -11.514 0.820 4.37207 610.042 399.300 54.3 -123.09076 -50.40642
N2C10375 -11.364 0.872 4.06623 620.043 402.715 50.6 -123.39149 -50.46227
N2C10376 -11.279 0.816 3.86201 721.088 455.846 42.0 -123.56592 -50.59502
N2C10377 -11.301 0.941 4.32331 660.774 425.120 47.2 -123.67753 -50.80846
N2C10378 -11.352 0.851 4.68116 644.889 416.249 48.9 -123.30170 -50.57747
N2C10379 -11.496 0.940 4.59333 648.197 417.610 49.9 -123.72931 -50.67988
N2C1037 -11.188 1.077 3.30936 675.213 436.706 13.7 -124.99141 -50.77106
N2C10380 -11.311 0.662 4.99298 646.154 418.890 55.5 -122.24290 -50.31292
N2C10381 -11.129 0.667 5.07448 655.876 423.697 50.0 -122.28148 -50.42932
N2C10382 -11.204 0.643 5.02076 652.471 422.695 39.1 -122.16219 -50.38433
N2C10383 -11.463 0.895 4.82992 606.957 398.866 53.3 -123.22478 -50.63683
N2C10384 -11.284 0.887 4.78741 617.832 404.143 46.5 -123.40743 -50.56339
N2C10385 -11.263 0.890 4.76302 617.423 404.281 55.3 -123.26760 -50.54002
N2C10386 -11.161 0.889 4.62031 606.858 397.218 45.8 -123.39164 -50.60729
N2C10387 -11.237 0.876 4.12916 685.419 438.369 52.0 -123.27993 -50.50045
N2C10388 -11.183 0.656 5.76640 655.055 425.484 53.7 -122.02284 -50.26316
N2C10389 -11.035 0.653 5.50081 663.477 428.284 49.2 -122.10700 -50.25606
N2C1038 -11.197 0.381 4.21164 552.030 374.378 11.5 -119.66739 -49.39866
N2C10390 -11.079 0.658 4.91491 654.539 422.940 45.5 -122.20178 -50.32725
N2C10391 -11.392 0.923 4.89359 650.851 422.072 55.0 -123.61947 -50.62456
N2C10392 -11.236 0.881 5.23930 627.767 410.527 52.3 -123.17314 -50.41199
N2C10393 -11.123 0.958 5.10479 683.968 438.341 47.9 -123.91504 -50.72533
N2C10394 -11.143 0.985 4.90723 673.351 432.436 43.9 -124.03708 -50.68875
N2C10395 -11.323 0.973 4.81929 672.304 433.173 49.0 -123.72431 -50.57612
N2C10396 -11.234 0.407 4.25748 570.405 378.526 41.0 -120.58713 -49.68316
N2C10397 -11.034 0.380 4.97875 586.591 387.682 41.7 -120.46462 -49.66762
N2C10398 -11.082 0.380 5.08302 573.307 382.074 36.4 -120.00544 -49.55720
N2C10399 -11.402 0.854 4.60858 639.835 415.611 54.7 -123.70150 -50.91114
N2C1039 -11.177 0.381 4.30592 549.701 373.377 9.2 -119.65515 -49.43928
N2C103 -11.097 0.648 4.80120 627.506 415.611 6.6 -121.51934 -50.12677
N2C10400 -11.213 0.814 4.43921 723.811 458.838 45.3 -123.73913 -50.88814
N2C10401 -11.208 0.828 4.55858 739.815 466.446 46.4 -123.92274 -51.00086
N2C10402 -11.158 0.655 5.49317 642.590 418.582 43.6 -122.19368 -50.38178
N2C10403 -11.250 0.914 5.11617 655.996 425.239 54.2 -123.84424 -50.76620
N2C10404 -11.427 0.914 4.73123 647.096 419.662 53.6 -124.01505 -50.90072
N2C10405 -11.137 0.939 4.21634 685.893 437.429 49.1 -123.97791 -50.81091
N2C10406 -11.162 0.972 5.16455 675.244 434.079 44.1 -124.20326 -50.93538
N2C10407 -11.404 0.930 5.07335 659.307 426.987 52.4 -123.90837 -50.62017
N2C10408 -11.171 0.867 5.69904 636.484 416.336 51.2 -123.29210 -50.83353
N2C10409 -11.219 0.940 5.86270 663.585 430.377 49.5 -123.63573 -50.82644
N2C1040 -11.192 0.400 4.34527 558.903 378.204 5.4 -119.86031 -49.45312
N2C10410 -11.185 0.880 5.60038 626.022 409.988 49.1 -123.20752 -50.57454
N2C10411 -11.315 0.998 5.64155 656.715 426.246 48.0 -124.30325 -50.82424
N2C10412 -11.206 0.372 5.26084 579.033 385.234 47.1 -119.93605 -49.60456
N2C10413 -10.975 0.367 4.90456 581.696 385.180 50.4 -120.17801 -49.54421
N2C10414 -11.154 0.372 5.52569 581.861 386.954 51.1 -120.08336 -49.54851
N2C10415 -11.142 0.367 5.52499 572.287 381.932 45.4 -119.99136 -49.45751
N2C10416 -10.991 0.374 4.85347 579.680 383.956 48.7 -120.30450 -49.52523
N2C10417 -10.940 0.381 4.59864 583.029 385.457 51.9 -120.40054 -49.62166
N2C10418 -11.023 0.361 5.26754 577.385 384.647 43.9 -119.87995 -49.46319
N2C10419 -11.067 0.367 6.07479 586.814 391.070 43.9 -119.80075 -49.47130
N2C1041 -11.164 0.367 4.18183 546.329 371.547 7.7 -119.46304 -49.36485
N2C10420 -11.333 0.612 4.84374 665.293 429.009 56.1 -122.02285 -50.30975
N2C10421 -11.291 0.652 4.45589 656.056 422.416 57.7 -122.39773 -50.29265
N2C10422 -11.380 0.670 4.61771 673.322 430.548 56.9 -122.30709 -50.29943
N2C10423 -11.220 0.601 4.21837 639.771 414.263 48.9 -122.05146 -50.17904
N2C10424 -11.250 0.584 5.98121 602.884 399.095 46.5 -121.94528 -50.12206
N2C10425 -11.110 0.655 4.95992 657.123 424.557 54.2 -122.25402 -50.41561
N2C10426 -11.192 0.662 5.31035 640.345 414.871 56.5 -122.21140 -50.24822
N2C10427 -11.119 0.667 5.35403 672.512 431.867 54.9 -122.21421 -50.39861
N2C10428 -11.437 0.828 4.36619 702.288 447.416 49.3 -123.12771 -50.62906
N2C10429 -11.319 0.833 4.50617 638.778 413.978 53.9 -123.28933 -50.72394
N2C1042 -11.108 0.412 3.71407 550.650 372.997 2.8 -119.58581 -49.40748
N2C10430 -11.472 0.811 4.00119 611.988 399.095 50.5 -123.18987 -50.34411
N2C10431 -11.384 0.837 4.74414 643.439 415.407 57.8 -123.53419 -50.70079
N2C10432 -11.171 0.874 4.05352 617.391 401.501 51.4 -123.48574 -50.56305
N2C10433 -11.353 0.826 4.82378 687.467 440.716 50.5 -123.08807 -50.61670
N2C10434 -11.249 0.865 4.70049 626.877 407.839 53.7 -123.37364 -50.57464
N2C10435 -11.309 0.855 5.44759 652.487 421.650 57.4 -123.36654 -50.70665
N2C10436 -11.220 0.907 4.68327 641.557 415.515 53.6 -123.64605 -50.65082
N2C10437 -11.519 0.895 4.41655 640.870 415.407 47.8 -123.70120 -50.46507
N2C10438 -11.324 0.939 4.91704 654.719 421.558 57.1 -123.86996 -50.67235
N2C10439 -11.311 0.935 4.94473 654.371 421.558 58.1 -123.84055 -50.81086
N2C1043 -11.050 0.388 4.24437 553.550 375.954 9.2 -119.47711 -49.45029
N2C10440 -11.305 0.913 4.22158 597.523 392.105 47.1 -123.57499 -50.40238
N2C10441 -11.219 0.900 4.59170 643.052 416.269 51.8 -123.71885 -50.51816
N2C10442 -11.180 0.943 4.62255 646.320 418.018 55.2 -123.86148 -50.55428
N2C10443 -11.108 0.817 5.16801 637.899 414.871 50.8 -123.10731 -50.50122
N2C10444 -11.293 0.874 5.37520 655.468 423.046 59.6 -123.25331 -50.59427
N2C10445 -11.260 0.935 5.04809 656.981 423.431 56.9 -123.65191 -50.64194
N2C10446 -11.375 0.922 4.40268 639.838 415.007 46.1 -123.80867 -50.36799
N2C10447 -11.426 0.826 5.02373 604.611 397.633 56.3 -123.24404 -50.44752
N2C10448 -10.965 0.826 5.00675 714.779 454.070 51.6 -123.57629 -50.66767
N2C10449 -11.223 0.942 5.13612 663.385 428.683 48.7 -123.91707 -50.72391
N2C1044 -11.037 0.383 4.50922 554.891 376.954 2.9 -119.48985 -49.34706
N2C10450 -11.132 0.641 5.47589 646.750 420.859 47.6 -121.99985 -50.31470
N2C10451 -11.133 0.641 6.33605 653.220 425.530 49.0 -121.90181 -50.26419
N2C10452 -11.340 0.774 4.73619 686.392 440.088 53.7 -123.12554 -50.52711
N2C10453 -11.130 0.848 5.09276 641.188 416.336 53.2 -123.38404 -50.68986
N2C10454 -11.203 0.923 5.21083 621.492 406.996 55.3 -123.75808 -50.81880
N2C10455 -11.242 0.880 6.47889 664.462 431.839 48.6 -123.42409 -50.68457
N2C10456 -11.173 0.882 5.85073 655.582 426.568 47.1 -123.49534 -50.62636
N2C10457 -11.161 0.982 5.03185 629.504 409.809 55.6 -124.12640 -50.91615
N2C10458 -11.344 0.955 4.77133 661.426 427.179 50.5 -124.02964 -50.72432
N2C10459 -11.273 0.810 5.63837 703.779 450.894 49.9 -122.91017 -50.49107
N2C1045 -11.004 0.380 4.33462 555.955 377.368 2.2 -119.51248 -49.39110
N2C10460 -11.046 0.826 5.30322 736.920 466.990 52.3 -123.52541 -50.92433
N2C10461 -11.067 0.846 5.55633 632.793 412.998 50.1 -123.25880 -50.59999
N2C10462 -11.392 0.891 5.72138 660.133 428.371 51.4 -123.64173 -50.60056
N2C10463 -11.230 0.884 5.68892 659.098 427.944 51.0 -123.58503 -50.47519
N2C10464 -11.157 0.943 5.42781 674.779 434.589 53.2 -123.91832 -50.84245
N2C10465 -11.137 0.988 5.39972 634.436 413.013 51.3 -124.20708 -50.82263
N2C10466 -11.276 0.916 5.32323 670.017 432.815 50.5 -123.90315 -50.45502
N2C10467 -11.271 0.939 5.71062 624.404 409.832 45.2 -123.58429 -50.79474
N2C10468 -11.377 0.966 5.10895 664.324 429.244 47.8 -124.18471 -50.76103
N2C10469 -11.245 0.912 4.98703 651.430 422.592 51.3 -123.71608 -50.71718
N2C1046 -11.045 0.386 4.33962 556.160 377.357 -1.0 -119.41775 -49.38047
N2C10470 -11.004 0.911 5.37467 652.888 422.824 53.3 -123.85302 -50.74925
N2C10471 -11.097 0.939 5.29241 656.276 424.536 53.0 -123.94436 -50.75519
N2C10472 -11.265 0.922 4.82956 652.730 422.668 49.3 -123.86919 -50.55566
N2C10473 -11.203 0.956 5.02415 664.447 429.543 51.0 -123.95614 -50.71861
N2C10474 -11.261 0.920 5.95343 675.764 435.948 55.5 -123.75629 -50.71566
N2C10475 -11.195 0.934 6.23381 665.267 431.994 47.8 -123.52145 -50.76498
N2C10476 -11.282 0.999 5.41485 657.025 426.246 45.7 -124.18965 -50.88413
N2C10477 -11.198 0.938 5.48715 604.279 399.095 49.6 -123.54151 -50.74598
N2C10478 -11.244 0.997 5.87641 652.560 424.881 50.7 -123.98474 -50.81319
N2C10479 -11.569 0.371 2.39578 554.783 364.036 63.9 -120.93389 -49.39797
N2C1047 -11.550 0.601 2.76629 536.979 361.664 19.1 -121.99213 -49.78725
N2C10480 -11.415 0.400 2.65858 565.670 369.945 59.6 -121.09768 -49.44978
N2C10481 -11.244 0.370 2.72474 559.984 368.836 64.0 -120.50167 -49.37668
N2C10482 -11.347 0.368 2.54112 552.799 363.665 58.2 -120.53687 -49.43752
N2C10483 -11.254 0.368 2.87964 559.314 368.995 62.4 -120.57829 -49.43951
N2C10484 -11.264 0.385 2.91166 566.955 371.919 58.2 -120.72080 -49.48520
N2C10485 -11.365 0.372 2.60797 555.971 365.681 61.3 -120.59172 -49.36261
N2C10486 -11.292 0.375 2.96126 561.845 370.309 60.6 -120.54005 -49.36122
N2C10487 -11.237 0.383 2.95409 569.030 373.108 55.3 -120.73145 -49.40092
N2C10488 -11.081 0.381 2.83767 559.372 367.210 54.1 -120.75669 -49.49011
N2C10489 -11.154 0.351 2.95270 559.342 369.484 47.7 -120.17693 -49.46571
N2C1048 -11.484 0.604 2.87608 539.550 363.485 17.6 -121.96367 -49.79034
N2C10490 -11.184 0.369 2.89795 559.167 368.743 43.0 -120.40389 -49.50187
N2C10491 -11.178 0.367 3.05264 558.110 369.199 61.7 -120.24841 -49.42463
N2C10492 -11.201 0.365 3.19724 563.050 372.472 53.4 -120.23243 -49.43803
